Time,??.?.-57,??.?.-57,?.?.-57,??.?.-57,??.?.-58,??.?.-58,?.?.-58,??.?.-58,??.?.-59,??.?.-59,?.?.-59,??.?.-59,??.?.-60,??.?.-60,?.?.-60,??.?.-60,??.?.-61,??.?.-61,?.?.-61,??.?.-61
06:00,512879.2686,643124.6365,542959.396,378220.91,431073.4184,427171.6694,553841.2754,436094.6954,471709.22,385148.19,496635.12,396713.94,439486.86,401880.62,554567.17,367644.92,474429.85,362008.42,397414.04,354702.9
06:15,437077.1754,780041.1756,451951.4956,460006.2045,541578.1324,444101.9853,614845.4976,482726.5847,480438.31,368428.96,458698.71,408166.07,383097.06,321087.24,551503.44,395089.01,471467.32,313753.94,288716.03,329156.12
06:30,495181.015,412873.744,656687.684,651965.1665,654961.6308,445537.1831,755148.5919,467510.1671,333049.17,328048.96,442478.59,413940.06,382380.16,325465.88,330818.87,389839.66,452052.05,310122.35,282267.2,302591.07
06:45,464166.6079,319595.4709,524663.3834,395520.2947,431520.4255,508522.2782,839281.4912,516177.1574,318364.71,251137.98,357820.29,435092.73,489134.49,342007.78,342760.77,352331.88,439655.87,316320.34,253178.83,270989.36
07:00,720349.152,324663.1393,416320.5025,372923.4156,530924.3449,643389.8558,901334.3383,651312.7254,349023.98,277863.7,346721.72,425944.77,390299.72,319123.8,315244.74,356922.11,468173.01,295022.68,267330.23,314566.59
07:15,771476.3613,317815.2098,760874.7595,519343.5972,597122.7628,661224.227,749075.2261,687950.3046,357830.91,259987.76,333903.62,367537.51,294881.13,289815.09,332166.61,359711.24,487181.81,288841.87,244918.34,270586.09
07:30,716330.5746,413797.1269,644783.8219,386212.5307,757456.2334,549384.3929,832626.6924,666113.9205,302071,259461.45,371288.36,307762.53,301718.54,284752.63,353522.39,381598.16,389573.4,331957.6,224913.89,235571.35
07:45,570479.1505,349872.2987,481122.4804,510109.9921,489687.2462,430246.3021,991299.6317,573483.887,228740.94,253676.35,387343.67,311344.45,349079.78,285353.89,338373.58,394664.91,317472.67,280992.86,264762.75,239019.8
08:00,990326.6693,409339.8538,544828.8061,504659.0582,512425.5653,453475.5314,949643.1713,513065.8753,201581.36,373510.6,400823.4,305265.8,345379.58,275161.96,348700.04,379363.73,289303.13,260814.01,260773.8,239715.57
08:15,655157.3632,353198.7723,541141.5275,422507.6945,450213.1597,500238.0119,1214560.408,509467.2821,232511.8,378272.47,438298.17,301207.78,326069.06,285145.59,340277.51,489441.22,317514.34,253485.58,252687.01,207182.06
08:30,547300.6791,396748.4334,521274.2514,502885.3267,434274.79,439029.295,630343.0187,623388.9973,236642.86,399978.34,392569.34,284586.18,306025.11,330190.06,369676.71,461285.31,289586.27,306065.64,248224.39,177089.58
08:45,397483.9622,374222.6142,370498.6572,519360.3675,399418.8077,420524.8875,553305.5748,525561.4178,209125.11,376836.58,431384.3,314629.95,362588.06,279246.61,428755.21,367158.53,266046.93,268995.31,233055.73,160944.06
09:00,412713.0449,416749.5458,386408.5446,443255.9883,331735.3418,460632.9024,549422.4952,761857.2734,206295.51,400473.88,415863.76,292183.56,336710.71,283762.62,363523.83,361930.43,283750.86,327966.41,259692.76,174143.44
09:15,590632.7425,393696.1654,441038.5593,342180.4828,523022.2143,559365.3488,509292.1725,683944.0891,222411.65,394906.23,213663.98,281259.13,325920.21,289053.7,399400.75,357929.21,287398.18,345107.77,233075.85,181222.04
09:30,415939.3158,362152.73,471137.6665,723626.0283,385680.5418,515395.0191,592668.1853,486859.5452,203170.14,399075.68,217029.35,341499.68,313995.88,284456.34,389140.21,330848.55,261368.81,343211.41,249521.85,179329.36
09:45,441767.8636,453239.5596,536382.4047,802155.5441,414274.8905,451651.1166,528070.196,540284.5737,189566.71,402792.9,382022.97,339667.77,327601.22,283430.28,389194.74,336795.51,250160.49,311078.85,276387.44,180253.03
10:00,512082.9845,672069.9728,733007.4431,389683.7534,423238.8567,553200.9374,526001.2638,637993.4463,190244.85,412157.37,515239.48,356018.32,336923.46,328020.08,395844.47,344538.11,250230.63,338853.18,288518.43,171954.05
10:15,512770.7671,682427.265,551722.7806,290333.727,432664.8236,432878.1577,493628.7332,577445.4451,183092.25,409878.26,502465.95,364146.33,318446.13,345931.56,325669.48,349208.21,239774.76,326206.01,279168.48,174404.16
10:30,401877.0225,453317.8505,490682.4168,376354.8219,350165.5092,397828.635,541588.4567,432739.9082,212825.1,424989.06,511283.11,434628.8,309058.59,364266.61,314487.22,344602.89,293447.97,278443.58,253203.1,269182.46
10:45,398025.7179,524312.3668,620990.5605,361480.1459,340583.7296,443349.8409,660178.7385,444101.8435,197621.89,424829.22,619666.16,559703.44,325352.61,389396.17,340332.11,399668.46,283439.03,278270.04,270666.52,453742.68
